DATE,CPIAUCSL_PC1,UNRATE
1948-01-01,7.67221,3.7500000000000000
1949-01-01,-0.98080,6.0500000000000000
1950-01-01,1.06402,5.2083333333333333
1951-01-01,7.94113,3.2833333333333333
1952-01-01,2.28439,3.0250000000000000
1953-01-01,0.75910,2.9250000000000000
1954-01-01,0.36112,5.5916666666666667
1955-01-01,-0.25746,4.3666666666666667
1956-01-01,1.47411,4.1250000000000000
1957-01-01,3.39269,4.3000000000000000
1958-01-01,2.73002,6.8416666666666667
1959-01-01,0.93199,5.4500000000000000
1960-01-01,1.49228,5.5416666666666667
1961-01-01,1.07036,6.6916666666666667
1962-01-01,1.17608,5.5666666666666667
1963-01-01,1.25606,5.6416666666666667
1964-01-01,1.32209,5.1583333333333333
1965-01-01,1.57869,4.5083333333333333
1966-01-01,2.98937,3.7916666666666667
1967-01-01,2.78455,3.8416666666666667
1968-01-01,4.24469,3.5583333333333333
1969-01-01,5.43713,3.4916666666666667
1970-01-01,5.88369,4.9833333333333333
1971-01-01,4.22656,5.9500000000000000
1972-01-01,3.27295,5.6000000000000000
1973-01-01,6.25872,4.8583333333333333
1974-01-01,11.01107,5.6416666666666667
1975-01-01,9.14160,8.4750000000000000
1976-01-01,5.77489,7.7000000000000000
1977-01-01,6.46956,7.0500000000000000
1978-01-01,7.62991,6.0666666666666667
1979-01-01,11.25303,5.8500000000000000
1980-01-01,13.50172,7.1750000000000000
1981-01-01,10.37831,7.6166666666666667
1982-01-01,6.15836,9.7083333333333333
1983-01-01,3.15953,9.6000000000000000
1984-01-01,4.36820,7.5083333333333333
1985-01-01,3.52790,7.1916666666666667
1986-01-01,1.94393,7.0000000000000000
1987-01-01,3.57821,6.1750000000000000
1988-01-01,4.10004,5.4916666666666667
1989-01-01,4.79109,5.2583333333333333
1990-01-01,5.41922,5.6166666666666667
1991-01-01,4.21583,6.8500000000000000
1992-01-01,3.04162,7.4916666666666667
1993-01-01,2.96965,6.9083333333333333
1994-01-01,2.59560,6.1000000000000000
1995-01-01,2.80542,5.5916666666666667
1996-01-01,2.93667,5.4083333333333333
1997-01-01,2.33757,4.9416666666666667
1998-01-01,1.54701,4.5000000000000000
1999-01-01,2.19314,4.2166666666666667
2000-01-01,3.36668,3.9666666666666667
2001-01-01,2.81663,4.7416666666666667
2002-01-01,1.59567,5.7833333333333333
2003-01-01,2.29800,5.9916666666666667
2004-01-01,2.66757,5.5416666666666667
2005-01-01,3.36583,5.0833333333333333
2006-01-01,3.22209,4.6083333333333333
2007-01-01,2.87055,4.6166666666666667
2008-01-01,3.81495,5.8000000000000000
2009-01-01,-0.32036,9.2833333333333333
2010-01-01,1.63657,9.6083333333333333
2011-01-01,3.13965,8.9333333333333333
2012-01-01,2.07319,8.0750000000000000
2013-01-01,1.46597,7.3583333333333333
2014-01-01,1.61546,6.1583333333333333
2015-01-01,0.12114,5.2750000000000000
2016-01-01,1.26736,4.8750000000000000
2017-01-01,2.13144,4.3583333333333333
2018-01-01,2.43900,3.8916666666666667
2019-01-01,1.81326,3.6750000000000000
2020-01-01,1.24919,8.0916666666666667
2021-01-01,4.68219,5.3500000000000000
2022-01-01,7.99169,3.6333333333333333
2023-01-01,4.12827,3.6250000000000000
2024-01-01,.,.
